application_id,applicant_name,email,phone_number,university,degree,cgpa,submission_time,ip_address,resume_quality_score,application_source,previous_applications,submission_hour,submission_day,is_weekend,submissions_per_ip,is_repeated_applicant,anomaly_iforest,kmeans_cluster,anomaly_kmeans,final_anomaly,alert,pca1,pca2,email_dup,phone_dup,resume_cgpa_ratio,ip_submission_count
17,Angela Armstrong,miranda31@example.org,877-411-8223,MIT,BS IT,3.93,2025-04-24 21:32:54,39.194.232.213,48,Mobile,1,21,3,0,1,0,0,3,False,0,✅ Normal,-0.371254572936428,0.334019805074495,0,0,12.2137373501941,1
18,Jessica Daniel,andrewmartin@example.com,987-787-5206x77026,NUST,BBA,2.38,2025-05-02 10:55:24,30.174.12.255,80,Desktop,4,10,4,0,1,1,0,0,False,0,✅ Normal,-0.0707684128564936,0.476312835101745,0,0,33.6134312548608,1
19,Andrew Brooks,savagepatricia@example.org,6344949341,FAST,BS IT,3.09,2025-05-16 03:32:38,199.180.6.75,63,Desktop,4,3,4,0,1,1,0,1,False,0,✅ Normal,-0.163115868727301,-0.123117889358308,0,0,20.3883429163939,1
20,Jason Mendez,veronica88@example.com,543.759.2037x14769,LUMS,BE SE,2.65,2025-05-19 12:19:45,206.10.104.28,90,Mobile,4,12,0,0,1,1,0,4,False,0,✅ Normal,-1.43987359820055,0.280762633619065,0,0,33.9622513349995,1
21,Corey Booth,elizabethallen@example.net,+1-295-940-9563x25441,MIT,BS IT,3.72,2025-04-27 10:17:05,70.107.213.127,50,Mobile,5,10,6,1,1,1,0,2,False,0,✅ Normal,2.14004439038503,0.492606792955252,0,0,13.4408566019203,1
22,Adam Butler,birdpatrick@example.net,772.399.2581x3427,NUST,BBA,3.85,2025-05-05 08:24:38,98.31.108.18,84,Mobile,4,8,0,0,1,1,0,1,False,0,✅ Normal,-1.5461090583414,-0.72781011548847,0,0,21.8181761511231,1
23,Mark Cross,stacy43@example.org,+1-750-500-3677x30547,LUMS,BSc CS,3.22,2025-04-25 02:07:48,209.245.123.120,80,Desktop,4,2,4,0,1,1,0,1,False,0,✅ Normal,-0.208929718270667,-0.779298177421385,0,0,24.8447127811451,1
24,Travis Cohen,natalie02@example.net,425.523.7749x08060,FAST,BBA,2.53,2025-04-23 20:58:43,115.29.113.34,72,Desktop,5,20,2,0,1,1,0,3,False,0,✅ Normal,-0.623462931939956,1.77937611256907,0,0,28.4584867753017,1
25,Caleb Nichols,colejudith@example.net,001-529-753-0429x9113,Stanford,BS AI,3.03,2025-05-06 07:46:12,98.45.12.31,53,Desktop,1,7,1,0,1,0,0,1,False,0,✅ Normal,-1.15859168377928,-0.275179760767439,0,0,17.4917434020649,1
26,Linda Wilson,elizabeth74@example.net,001-275-851-8258x1352,Stanford,BS AI,3.28,2025-05-13 05:08:55,119.149.14.165,96,Desktop,3,5,1,0,1,1,0,1,False,0,✅ Normal,-1.23749645335373,-1.23975300544503,0,0,29.2682837596696,1
27,Angela Williams,steven23@example.com,+1-501-713-9122,Stanford,BE SE,3.66,2025-05-17 11:17:33,156.81.89.165,53,Mobile,4,11,5,1,1,1,0,2,False,0,✅ Normal,1.79687657155728,0.263146640109751,0,0,14.4808703604179,1
28,Erin Lee,paul98@example.com,001-312-904-3437x5647,MIT,BS AI,2.65,2025-04-25 04:23:16,195.243.227.141,65,Mobile,2,4,4,0,1,0,0,0,False,0,✅ Normal,-0.155413443459764,-0.38196796376241,0,0,24.528292630833,1
29,Carl Walker,chris30@example.com,001-962-769-3049x5261,Harvard,BSc CS,2.71,2025-05-07 11:15:33,166.168.18.173,68,Mobile,3,11,2,0,1,1,0,0,False,0,✅ Normal,-0.753170894275542,0.424591344565521,0,0,25.0922416633795,1
30,Melissa Daniels,tpeterson@example.com,(557)251-6777x36634,MIT,BS AI,2.2,2025-05-11 08:54:33,205.202.42.203,73,Mobile,4,8,6,1,1,1,0,2,False,0,✅ Normal,2.15926957003466,0.450822314761192,0,0,33.1818030991804,1
31,Carlos Stanley,gregorykristina@example.org,(636)720-6489x9833,LUMS,BS AI,2.01,2025-05-05 15:27:30,132.36.122.217,55,Desktop,5,15,0,0,1,1,0,3,False,0,✅ Normal,-1.2996981662946,2.27041187736845,0,0,27.3631704660843,1
32,Samantha Hernandez,duranshannon@example.com,777.491.2067x507,FAST,BSc CS,3.31,2025-05-19 22:47:50,153.251.65.41,42,Desktop,1,22,0,0,1,0,0,3,False,0,✅ Normal,-1.33285147537975,1.1091227793492,0,0,12.6888179187861,1
33,John Collier,john11@example.org,(428)838-9040x67547,LUMS,BS AI,2.21,2025-04-30 05:17:46,186.105.101.144,49,Desktop,4,5,2,0,1,1,0,0,False,0,✅ Normal,-0.7456852261134,1.11681656183102,0,0,22.1719356688074,1
34,Timothy Norris,ubrown@example.org,781.526.0768x758,Harvard,BS AI,3.83,2025-05-17 02:47:57,217.40.89.4,48,Desktop,4,2,5,1,1,1,0,2,False,0,✅ Normal,1.6958014605685,-0.460570132838193,1,0,12.5326338034899,1
35,Hannah Jefferson,laura54@example.net,239.350.8931x4282,NUST,BBA,3.69,2025-05-13 10:49:09,214.204.30.136,67,Desktop,0,10,1,0,1,0,0,1,False,0,✅ Normal,-1.20065260121749,-1.18717771905818,0,0,18.1571766511716,1
36,Derek Gutierrez,monique05@example.com,317.886.4500,Harvard,BS AI,2.11,2025-05-11 18:50:15,113.197.120.87,47,Desktop,1,18,6,1,1,0,0,2,False,0,✅ Normal,2.2761944422565,1.18551850152717,0,0,22.2748709597768,1
37,Emily Smith,stevenbrown@example.net,001-991-714-2280x834,Harvard,BBA,3.03,2025-05-15 14:29:00,6.210.4.8,82,Desktop,4,14,3,0,1,1,0,4,False,0,✅ Normal,-0.408682773402279,0.320151367993262,0,0,27.0626973390438,1
38,Karen Carter,escobarrobert@example.net,356.261.0244,NUST,BBA,2.45,2025-05-02 22:33:28,209.173.249.96,73,Mobile,2,22,4,0,1,0,0,3,False,0,✅ Normal,0.0415365750964682,1.0232717280069,0,0,29.7959062057526,1
39,Melanie Lee,hallchad@example.net,471-252-0934x387,Harvard,BE SE,3.04,2025-04-23 07:37:24,197.77.144.215,92,Mobile,5,7,2,0,1,1,0,4,False,0,✅ Normal,-0.828603678628862,-0.22386211888777,0,0,30.263147939754,1
40,John Parker,daniel28@example.net,218.697.0787x648,LUMS,BS IT,2.51,2025-05-16 22:20:36,25.83.170.31,88,Desktop,1,22,4,0,1,0,0,4,False,0,✅ Normal,0.000857760417624392,0.258146844844324,0,0,35.0597469881486,1
41,Nicole Smith,sforbes@example.net,583.575.9632x81699,Stanford,BS AI,2.31,2025-04-20 23:25:20,110.70.22.176,83,Mobile,4,23,6,1,1,1,0,2,False,0,✅ Normal,2.30152647854325,1.33208210078607,0,0,35.9307203763115,1
42,Robert Kane,daltonerin@example.org,563-938-5382x81673,FAST,BS IT,3.85,2025-04-24 19:43:55,207.140.119.126,62,Desktop,5,19,3,0,1,1,0,3,False,0,✅ Normal,-0.35781942365429,1.01964324063334,0,0,16.103891921067,1
43,Cynthia Lee,robert47@example.org,488.708.4115,MIT,BE SE,2.03,2025-05-09 15:43:32,147.212.127.68,90,Mobile,4,15,4,0,1,1,0,0,False,0,✅ Normal,-0.0108052535424611,0.854226570761677,0,0,44.3349535295795,1
44,Taylor Thompson,zwagner@example.org,+1-565-964-2052x16063,NUST,BS IT,3.25,2025-04-20 08:23:38,148.149.74.210,63,Mobile,1,8,6,1,1,0,0,2,False,0,✅ Normal,2.0726483862611,-0.900790746014569,0,0,19.3846094201202,1
45,Brett Jackson,williamevans@example.com,217-550-2259,Harvard,BE SE,2.4,2025-05-19 23:58:27,221.77.172.75,40,Mobile,1,23,0,0,1,0,0,3,False,0,✅ Normal,-1.26420174805369,1.89111771301191,0,0,16.6666597222251,1
46,Laura Glenn,mwilliams@example.net,870-480-6061,MIT,BE SE,3.2,2025-05-14 06:07:20,86.143.161.174,60,Mobile,0,6,2,0,1,0,0,1,False,0,✅ Normal,-0.864362922941003,-1.00234733368673,1,0,18.7499941406268,1
47,Jason Hall,uferguson@example.com,001-931-757-9395,FAST,BE SE,2.05,2025-05-06 11:11:35,166.29.6.96,90,Desktop,5,11,1,0,1,1,0,0,False,0,✅ Normal,-1.0619627277786,0.891245668237235,0,0,43.9024176085768,1
48,Sandra Miller,uhiggins@example.net,+1-531-823-7910x71228,Harvard,BS AI,2.41,2025-05-02 03:14:21,181.44.58.121,81,Mobile,5,3,4,0,1,1,0,0,False,0,✅ Normal,-0.137818678754475,0.144945031370673,0,0,33.609944560189,1
49,Jeffrey Parker,williamfaulkner@example.com,363-901-9530x66570,NUST,BS IT,2.89,2025-05-06 01:57:10,136.21.158.198,95,Desktop,5,1,1,0,1,1,0,0,False,0,✅ Normal,-1.23004603878122,-0.671633448948223,0,0,32.8719609439582,1
50,Dr. Jason Powell MD,jacobsbrenda@example.net,988-374-4179,Stanford,BSc CS,3.64,2025-04-23 08:26:40,221.255.113.215,59,Desktop,5,8,2,0,1,1,0,1,False,0,✅ Normal,-0.801041076188932,0.370135156667802,0,0,16.2087867558278,1
51,Douglas Mills,hensonhaley@example.com,205.347.6665,LUMS,BBA,2.58,2025-04-29 13:40:18,97.160.186.169,63,Mobile,3,13,1,0,1,1,0,3,False,0,✅ Normal,-1.05521459367386,0.851834210133359,0,0,24.418595186591,1
52,Elizabeth Henry,ncervantes@example.net,+1-576-806-4226x3587,MIT,BBA,2.77,2025-05-17 20:15:37,209.8.220.9,42,Desktop,3,20,5,1,1,1,0,2,False,0,✅ Normal,1.95329438608873,1.65064422808715,0,0,15.1624493998378,1
53,Beth Johnson,edward34@example.org,200.564.7461x543,Stanford,BS IT,2.45,2025-05-01 01:21:58,106.235.122.65,47,Mobile,3,1,3,0,1,1,0,0,False,0,✅ Normal,-0.474279196524947,0.346734933445869,0,0,19.1836656393201,1
54,Jennifer Smith,amanda65@example.net,209-967-8049,MIT,BS IT,3.33,2025-05-01 21:04:12,120.155.212.139,72,Mobile,3,21,3,0,1,1,0,4,False,0,✅ Normal,-0.347071591925503,0.673468228543282,0,0,21.6216151286441,1
55,Brian Hughes,tchavez@example.net,9044482110,NUST,BBA,2.92,2025-04-27 05:04:49,148.106.132.84,73,Desktop,1,5,6,1,1,0,0,2,False,0,✅ Normal,2.04354591149208,-1.19950952848243,0,0,24.9999914383591,1
56,Richard Smith,david68@example.net,001-264-694-4883,NUST,BS IT,3.22,2025-05-16 15:41:29,213.198.68.214,77,Mobile,3,15,4,0,1,1,0,4,False,0,✅ Normal,-0.0745925170897091,0.0844269375686608,0,0,23.9130360518522,1
57,Justin Jones,fphelps@example.net,768-500-3820,LUMS,BS AI,2.36,2025-05-12 00:59:05,39.242.173.48,45,Desktop,3,0,0,0,1,1,0,0,False,0,✅ Normal,-1.49593968042874,0.468680062065867,0,0,19.0677885305981,1
58,Leslie Bryan,egreen@example.org,+1-663-571-1029,LUMS,BS AI,3.89,2025-04-24 17:20:12,206.2.65.186,92,Desktop,2,17,3,0,1,0,0,4,False,0,✅ Normal,-0.469575841821976,-0.917588199454662,1,0,23.650379524324,1
59,David Harrington,nharmon@example.org,(945)853-4531x38543,Harvard,BBA,3.56,2025-04-24 04:47:19,205.235.66.239,57,Mobile,3,4,3,0,1,1,0,1,False,0,✅ Normal,-0.523697325959455,-0.471843252310552,0,0,16.0112314575193,1
60,Stephen Marshall,michael00@example.org,3767508508,MIT,BSc CS,3.27,2025-05-05 19:57:11,32.171.16.143,69,Desktop,0,19,0,0,1,0,0,4,False,0,✅ Normal,-1.4195854862752,-0.173773425967198,1,0,21.1009109783147,1
61,Peter Avila,ythompson@example.org,437.265.8874x97140,LUMS,BE SE,2.58,2025-05-14 22:51:22,134.164.213.56,91,Desktop,2,22,2,0,1,0,0,4,False,0,✅ Normal,-0.674383074446456,0.477948234820147,0,0,35.2713041584092,1
62,Rebecca Coleman,nelsondebra@example.net,247-503-1526x9113,FAST,BBA,3.34,2025-05-14 01:07:22,130.104.10.36,61,Desktop,4,1,2,0,1,1,0,1,False,0,✅ Normal,-0.876367451662276,-0.352236388345199,0,0,18.2634675857882,1
63,Gary Ayala,blake33@example.com,(474)979-9434,MIT,BE SE,2.45,2025-04-25 14:07:26,151.113.36.213,51,Mobile,1,14,4,0,1,0,0,3,False,0,✅ Normal,-0.0245513412844041,0.686138488832866,0,0,20.8163180341559,1
64,Mathew Smith,james32@example.com,983.993.1874x3256,MIT,BS AI,2.03,2025-05-04 22:16:24,214.128.96.114,40,Mobile,5,22,6,1,1,1,1,2,True,1,⚠️ Suspicious,2.3889415614047,2.96291464923723,0,0,19.7044237909242,1
65,Christina Carson,gzhang@example.org,+1-234-928-6986x70725,MIT,BS IT,2.05,2025-05-17 01:20:07,66.193.167.22,81,Desktop,0,1,5,1,1,0,1,2,True,1,⚠️ Suspicious,1.68600246370107,-1.41276166422942,0,0,39.5121758477191,1
66,Philip Valdez,edwardmartinez@example.org,+1-560-896-0490x491,MIT,BE SE,3.54,2025-05-04 10:12:27,219.208.164.62,62,Desktop,4,10,6,1,1,1,0,2,False,0,✅ Normal,2.11850801703639,-0.0180767708143859,0,0,17.514119346294,1
67,Kelly Boone PhD,kellydaniel@example.net,(668)802-9293x21872,Harvard,BSc CS,3.31,2025-04-26 08:28:39,197.229.193.25,68,Mobile,2,8,5,1,1,0,0,2,False,0,✅ Normal,1.73457345980513,-0.75877026281768,0,0,20.5438004399394,1
68,Susan Gregory,terricannon@example.org,5498150554,Stanford,BS IT,3.21,2025-05-16 20:52:38,199.204.104.171,81,Desktop,1,20,4,0,1,0,0,4,False,0,✅ Normal,-0.0518832779105895,-0.203434397729472,0,0,25.233636998867,1
69,Jamie Garcia,daniel31@example.net,563-430-5006,NUST,BE SE,2.63,2025-05-06 10:44:41,203.197.89.223,68,Desktop,2,10,1,0,1,0,0,0,False,0,✅ Normal,-1.1123353258258,0.128609044635896,0,0,25.8555034769949,1
70,Austin Flores,sarahgarrett@example.com,(662)345-3139x018,LUMS,BS IT,2.9,2025-05-16 12:32:18,161.224.125.36,88,Mobile,0,12,4,0,1,0,0,4,False,0,✅ Normal,-0.145549408937628,-1.14319944762911,0,0,30.3448171224769,1
71,Christopher Anderson,jacksoncynthia@example.org,826-377-3739x392,LUMS,BS IT,2.23,2025-04-30 03:48:35,200.141.196.215,66,Mobile,4,3,2,0,1,1,0,0,False,0,✅ Normal,-0.795896593301598,0.455490234147672,0,0,29.5963992841259,1
72,Mark Lucas,alvaradoalicia@example.org,+1-361-820-9063x107,Stanford,BE SE,2.59,2025-05-19 13:49:28,106.190.230.46,55,Mobile,5,13,0,0,1,1,0,3,False,0,✅ Normal,-1.35639141751706,1.69526273042514,0,0,21.2355130364815,1
73,Ann Morse,brandi36@example.com,+1-283-558-0649,NUST,BS IT,3.19,2025-05-16 20:37:54,198.34.16.238,76,Mobile,0,20,4,0,1,0,0,4,False,0,✅ Normal,-0.0559524273271011,-0.34551224690769,0,0,23.8244439421806,1
74,Jeffrey Atkins,qwilcox@example.org,291-666-5435,FAST,BS AI,2.36,2025-05-18 19:41:09,5.72.109.88,91,Desktop,2,19,6,1,1,0,0,2,False,0,✅ Normal,2.21542768177327,0.14321924210278,0,0,38.5593056952095,1
75,Sarah Buchanan,dorothyclayton@example.org,+1-867-525-7305x198,Harvard,BBA,3.45,2025-05-04 06:12:27,34.3.76.71,81,Mobile,4,6,6,1,1,1,0,2,False,0,✅ Normal,2.04973362550086,-0.82401915726882,0,0,23.4782540642742,1
76,Kaitlyn Morse,leerichard@example.org,246.634.4646,FAST,BS IT,3.23,2025-05-11 21:30:44,220.180.188.237,64,Desktop,5,21,6,1,1,1,0,2,False,0,✅ Normal,2.26792690276704,1.35294156859677,0,0,19.8142353516299,1
77,Mary Schneider,stephaniepeterson@example.com,988.526.2044,Stanford,BBA,2.25,2025-04-24 17:49:17,146.214.169.50,69,Desktop,4,17,3,0,1,1,0,3,False,0,✅ Normal,-0.308348547476141,1.48759353098082,0,0,30.6666530370431,1
78,Amber Knapp,grayjudy@example.com,(797)616-6068x912,Harvard,BBA,2.82,2025-05-19 05:47:13,44.180.121.100,100,Mobile,1,5,0,0,1,0,0,0,False,0,✅ Normal,-1.58251124446622,-1.59576618490356,0,0,35.4609803329857,1
79,Christopher Dominguez,gonzalessean@example.com,001-895-518-9871x39682,NUST,BSc CS,2.19,2025-05-08 23:30:17,117.212.167.245,47,Desktop,4,23,3,0,1,1,0,3,False,0,✅ Normal,-0.203853219231672,2.65005858957045,0,0,21.4611774149875,1
80,Deborah Miles,harrisjared@example.net,504-251-4724x91481,LUMS,BBA,2.93,2025-05-05 16:26:55,78.231.0.240,92,Mobile,0,16,0,0,1,0,0,4,False,0,✅ Normal,-1.46877213172995,-0.833696357777932,0,0,31.3993066896564,1
81,Bradley Gibson,kennethunderwood@example.net,253-692-4043x5022,MIT,BS AI,3.55,2025-05-18 05:44:40,161.75.225.131,90,Desktop,5,5,6,1,1,1,0,2,False,0,✅ Normal,2.03166546225469,-0.9345531667331,0,0,25.3521055346182,1
82,Donna Martin,jward@example.net,432-774-5795x4753,LUMS,BE SE,3.53,2025-05-02 01:08:16,65.24.209.59,98,Desktop,1,1,4,0,1,0,0,1,False,0,✅ Normal,-0.306776355778649,-2.48441819510121,1,0,27.7620317954584,1
83,Sarah Little,hlucas@example.org,7863857709,NUST,BS IT,3.93,2025-05-04 09:19:15,203.236.247.172,62,Desktop,4,9,6,1,1,1,0,2,False,0,✅ Normal,2.08417411443355,-0.376258477748888,0,0,15.7760774106673,1
84,Beth Hernandez,karenmurphy@example.net,001-672-342-9509x6821,MIT,BS AI,2.63,2025-04-29 05:17:06,203.30.236.4,69,Mobile,3,5,1,0,1,1,0,0,False,0,✅ Normal,-1.15562236395511,-0.0159488461975153,0,0,26.2357314693036,1
85,Jasmine Lee,keith15@example.com,(702)586-4299x610,MIT,BS IT,2.61,2025-04-29 11:43:09,209.28.200.240,47,Desktop,2,11,1,0,1,0,0,3,False,0,✅ Normal,-1.06674351223938,0.82043375133266,0,0,18.007655935764,1
86,Dr. Marcus Smith,turnercharles@example.com,+1-375-248-8959x86386,FAST,BS IT,2.86,2025-04-29 08:37:05,157.68.161.243,97,Mobile,5,8,1,0,1,1,0,4,False,0,✅ Normal,-1.1545471837015,-0.127410236624955,0,0,33.9160720573175,1
87,Janice Foley,gomezbobby@example.org,422.796.9703,FAST,BS IT,2.26,2025-04-21 21:28:41,51.248.64.101,95,Mobile,0,21,0,0,1,0,0,4,False,0,✅ Normal,-1.37851274075863,-0.031543330511963,0,0,42.035379630363,1
88,Dawn Murphy,garciamichael@example.com,001-393-759-5208x4716,MIT,BE SE,2.82,2025-05-20 00:59:41,18.191.33.178,97,Mobile,5,0,1,0,1,1,0,0,False,0,✅ Normal,-1.2400204515896,-0.761678474675043,0,0,34.3971509229961,1
89,Rhonda Hoffman,mckeejohn@example.net,4815543850,FAST,BSc CS,2.59,2025-05-02 22:02:59,202.192.77.78,44,Desktop,5,22,4,0,1,1,0,3,False,0,✅ Normal,0.118957857824639,2.63945448864227,0,0,16.9884104291852,1
90,Noah Beck,thomas73@example.net,2968360778,MIT,BE SE,2.76,2025-05-13 10:15:40,211.138.227.131,62,Desktop,3,10,1,0,1,1,0,0,False,0,✅ Normal,-1.09735126708207,0.504627776972731,0,0,22.4637599768986,1
91,Amanda Wright,jordanjames@example.org,809-665-7578,Stanford,BS IT,3.93,2025-04-23 15:33:09,155.229.231.194,45,Mobile,5,15,2,0,1,1,0,3,False,0,✅ Normal,-0.719245632547092,1.14166460368123,0,0,11.4503787658069,1
92,Sandra Campos,michaelalvarez@example.com,962-322-8169x8709,Harvard,BS AI,3.17,2025-04-24 15:42:55,219.38.68.67,53,Mobile,3,15,3,0,1,1,0,3,False,0,✅ Normal,-0.373164231266895,0.827789584360798,0,0,16.7192376280007,1
93,Andrea Jones,anncowan@example.org,001-713-899-9035,FAST,BE SE,3.27,2025-04-26 14:47:05,172.246.0.218,81,Mobile,2,14,5,1,1,0,0,2,False,0,✅ Normal,1.78218660623043,-0.601908953545279,0,0,24.7706346267172,1
94,James Lane,cainjeff@example.net,+1-388-236-6585x717,FAST,BBA,2.6,2025-04-27 13:18:04,11.103.69.53,73,Mobile,3,13,6,1,1,1,0,2,False,0,✅ Normal,2.17701650801413,0.284623605382517,0,0,28.0769122781107,1
95,Teresa Foster,vanessa19@example.com,001-725-774-4625x57714,Stanford,BSc CS,2.22,2025-04-22 04:04:59,185.205.75.14,89,Desktop,3,4,1,0,1,1,0,0,False,0,✅ Normal,-1.1738778942942,-0.375834812643338,0,0,40.0900720314991,1
96,Hannah Blanchard,dustin32@example.org,543-663-4852,MIT,BS IT,2.41,2025-04-24 04:33:30,2.127.86.21,99,Mobile,5,4,3,0,1,1,0,0,False,0,✅ Normal,-0.495222180796879,-0.253960789288792,0,0,41.0788211291199,1
97,Samuel Molina,smithjose@example.net,(732)612-7124x912,MIT,BSc CS,3.16,2025-05-16 12:54:25,222.183.176.225,93,Desktop,4,12,4,0,1,1,0,4,False,0,✅ Normal,-0.116185027104672,-0.277059895738802,0,0,29.4303704334271,1
98,Rebecca Johnson,mjohnson@example.com,6653744368,MIT,BBA,3.03,2025-05-09 06:57:19,171.205.209.99,65,Desktop,5,6,4,0,1,1,0,1,False,0,✅ Normal,-0.116533354160376,0.408871524960508,0,0,21.4521381346079,1
99,Chad Adams,ntorres@example.org,(275)725-2898,MIT,BE SE,2.14,2025-05-15 18:14:07,108.186.9.155,90,Mobile,3,18,3,0,1,1,0,4,False,0,✅ Normal,-0.337411422034388,0.755346262970258,0,0,42.0560551139929,1
100,Cody Woods,martinezcarla@example.net,410-809-3792,FAST,BSc CS,2.25,2025-05-03 16:11:58,94.95.240.254,89,Mobile,4,16,5,1,1,1,0,2,False,0,✅ Normal,1.8789390702125,0.652966265097536,0,0,39.5555379753165,1
101,Derrick Newton,jacob96@example.net,277.567.4599,MIT,BS IT,3.29,2025-05-15 14:59:31,165.206.134.206,83,Mobile,5,14,3,0,1,1,0,4,False,0,✅ Normal,-0.412619120031796,0.406084362303467,0,0,25.2279558577642,1
102,Benjamin Valdez,alexanderrodriguez@example.org,(614)459-9859x3102,FAST,BBA,3.51,2025-05-01 17:26:30,211.95.60.119,49,Desktop,0,17,3,0,1,0,0,3,False,0,✅ Normal,-0.404854656829624,-0.0268534541341782,0,0,13.9601099828746,1
103,Katrina James,pdecker@example.com,201.355.8136,Harvard,BE SE,3.35,2025-04-30 17:47:24,206.192.88.156,49,Desktop,4,17,2,0,1,1,0,3,False,0,✅ Normal,-0.682137915790535,1.30566187750742,0,0,14.6268613054145,1
104,Annette Mora,michaeltaylor@example.com,+1-395-680-1999,FAST,BS AI,2.25,2025-05-18 22:13:50,195.142.162.216,93,Mobile,3,22,6,1,1,1,0,2,False,0,✅ Normal,2.265003834836,0.710512223153019,0,0,41.3333149629711,1
105,Daniel Oneal,kyleallen@example.net,+1-252-445-8306x9397,FAST,BE SE,2.42,2025-05-10 15:43:33,168.96.117.90,76,Mobile,4,15,5,1,1,1,0,2,False,0,✅ Normal,1.87846007537608,0.818385114470451,0,0,31.4049457004357,1
