application_id,applicant_name,email,phone_number,university,degree,cgpa,submission_time,ip_address,resume_quality_score,application_source,previous_applications,submission_hour,submission_day,is_weekend,submissions_per_ip,is_repeated_applicant,anomaly_iforest,kmeans_cluster,anomaly_kmeans,final_anomaly,alert,pca1,pca2,email_dup,phone_dup,resume_cgpa_ratio,ip_submission_count,combined_alert,alert_level
564,Benjamin Levine,cbrown@example.org,655-347-6280x854,Stanford,BS IT,3.66,2025-05-17 22:17:40,214.175.47.239,55,Mobile,5,22,5,1,1,1,1,1,0,0,✅ Normal,1.927734898613985,1.4152828657860783,1,0,15.0273182985469,1,1,Medium
587,Jessica Thomas,rossapril@example.net,789.794.0170x78305,FAST,BS AI,3.79,2025-05-11 23:31:38,172.136.76.196,93,Desktop,1,23,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.157340160036766,-0.8897029610940067,0,0,24.538252100725,1,1,Medium
588,Brittany Vincent,denniswalker@example.com,(893)598-7000,Harvard,BBA,2.0,2025-05-11 05:18:52,216.242.111.169,42,Mobile,4,5,6,1,1,1,1,1,0,1,⚠️ Suspicious,2.1876143146981133,1.2217649795804961,0,0,20.9999895000053,1,1,Medium
657,Randy Mccall,allison89@example.net,001-461-514-4140,NUST,BSc CS,3.77,2025-04-26 17:07:33,177.93.12.167,43,Desktop,5,17,5,1,1,1,1,1,0,0,✅ Normal,1.8853231884466972,1.2634823831583797,0,0,11.4058325183468,1,1,Medium
694,Katie Smith,payneapril@example.org,001-322-363-2584,LUMS,BBA,2.09,2025-05-17 09:23:28,155.193.210.104,44,Mobile,5,9,5,1,1,1,1,1,0,0,✅ Normal,1.8964502710373816,1.7588430675382558,0,0,21.0526215059227,1,1,Medium
697,Joseph Smith,medinamaria@example.org,3822561155,Stanford,BBA,2.31,2025-05-11 22:52:54,164.174.23.169,87,Mobile,0,22,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.2312927245454706,-0.05540248178336939,0,0,37.6623213583024,1,1,Medium
721,Debbie Jones,susancrawford@example.net,001-606-644-1314x125,NUST,BBA,2.08,2025-05-04 21:56:17,210.63.49.34,45,Mobile,1,21,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.314123176727665,1.5117984335756565,0,0,21.634604983363,1,1,Medium
753,Anna Terry,sarah77@example.com,258.306.3122,Harvard,BBA,2.18,2025-05-03 00:52:54,45.56.164.35,91,Mobile,5,0,5,1,1,1,1,1,0,1,⚠️ Suspicious,1.7174333881023363,-0.38144744939604197,0,0,41.743100117844,1,1,Medium
779,Kelly Montoya,douglas42@example.net,762.913.2043x007,LUMS,BBA,3.93,2025-05-17 21:06:06,34.228.70.64,56,Mobile,1,21,5,1,1,0,1,1,0,0,✅ Normal,1.8461084732892432,-0.07785677805092914,0,0,14.2493602418931,1,1,Medium
781,Dean Barton,angela89@example.org,(655)458-8362,Harvard,BBA,3.53,2025-04-27 22:03:44,207.157.196.152,100,Desktop,2,22,6,1,1,0,1,1,0,0,✅ Normal,2.164008178327258,-0.6893951573706371,0,0,28.3286038729168,1,1,Medium
786,Tanya Cruz,morenodon@example.org,001-235-869-7544x77801,Stanford,BS AI,2.95,2025-05-18 23:42:00,165.70.26.188,100,Mobile,1,23,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.196496341482034,-0.49489950453103126,0,0,33.8982935937988,1,1,Medium
788,Erica Evans,hallalisha@example.net,578.995.9952x966,FAST,BS AI,3.89,2025-04-27 01:37:49,188.137.58.66,76,Desktop,0,1,6,1,1,0,1,1,0,1,⚠️ Suspicious,1.9235406930487422,-2.598478075546068,0,0,19.5372700418329,1,1,Medium
825,Lisa Jacobs,rubiochristopher@example.com,343-764-5370x38555,MIT,BSc CS,2.53,2025-05-18 02:28:53,205.94.121.116,91,Desktop,5,2,6,1,1,1,1,1,0,0,✅ Normal,2.0581941283787706,-0.4911301310610053,0,0,35.9683652298952,1,1,Medium
845,Cody Lee,henryrobert@example.com,(917)352-0143x5785,FAST,BBA,2.72,2025-05-11 20:30:17,213.99.73.112,99,Mobile,5,20,6,1,1,1,1,1,0,1,⚠️ Suspicious,2.2317937666677663,0.6387417402032223,0,0,36.3970454422627,1,1,Medium
848,David Williamson,sabrina75@example.net,7688769270,LUMS,BSc CS,2.68,2025-05-11 00:53:30,213.196.78.151,40,Desktop,0,0,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.042278940915803,-0.8071352580896821,0,0,14.9253675651614,1,1,Medium
871,Adriana Obrien,qcarter@example.org,+1-890-754-5864,Stanford,BSc CS,2.26,2025-05-04 02:26:25,208.164.1.13,42,Mobile,1,2,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.099432130316895,-0.10377404973402646,0,0,18.5840625734236,1,1,Medium
895,George Brooks,justin60@example.net,(672)638-0371,Stanford,BE SE,2.43,2025-04-27 02:38:54,172.244.216.118,65,Mobile,0,2,6,1,1,0,1,1,0,0,✅ Normal,2.0394393734796687,-1.1731913105913667,0,0,26.7489601856131,1,1,Medium
928,Traci Gonzalez,millerstephen@example.com,(294)812-0523,LUMS,BE SE,2.11,2025-05-04 22:07:38,155.168.254.125,84,Desktop,5,22,6,1,1,1,1,1,0,1,⚠️ Suspicious,2.314148083739499,1.6599940225959546,0,0,39.8104076727926,1,1,Medium
949,George Lopez,michelegibson@example.net,849-799-5406x347,MIT,BSc CS,3.73,2025-04-26 00:41:11,136.248.41.104,48,Desktop,2,0,5,1,1,0,1,1,0,0,✅ Normal,1.6533785614247254,-1.1512699875827799,0,0,12.8686292577401,1,1,Medium
960,Lance Pierce,jacksonthomas@example.com,459.763.7955x406,LUMS,BBA,2.02,2025-05-11 00:28:42,215.147.104.134,91,Desktop,0,0,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.000654367704273,-1.785859561630818,0,0,45.049482648771,1,1,Medium
975,Cathy Perez,davisemily@example.net,755.293.8558x7041,NUST,BSc CS,3.94,2025-05-04 03:42:03,203.137.167.190,51,Mobile,5,3,6,1,1,1,1,1,0,1,⚠️ Suspicious,2.048396732470916,-0.27075417202955665,0,0,12.9441591512286,1,1,Medium
992,Jessica French,perezaustin@example.org,+1-808-598-3450x85596,NUST,BS AI,2.04,2025-04-28 16:07:41,220.194.51.243,94,Mobile,0,16,0,0,1,0,1,2,0,0,✅ Normal,-1.4186673508716137,-0.2619490026799954,0,0,46.0784087850937,1,1,Medium
1000,Mrs. Olivia Randall,shannon19@example.org,7934834676,NUST,BBA,2.56,2025-05-11 02:01:57,156.248.135.209,98,Desktop,1,2,6,1,1,0,1,1,0,0,✅ Normal,1.9923747370687446,-1.9019671663220041,0,0,38.2812350463926,1,1,Medium
1003,Brooke Smith,ismith@example.com,+1-248-647-3831x24083,MIT,BE SE,3.91,2025-05-08 23:15:51,11.7.152.197,97,Desktop,0,23,3,0,1,0,1,2,0,0,✅ Normal,-0.4392702555881953,-1.172145854722932,1,0,24.80817779842,1,1,Medium
1005,Wanda Davis,ythomas@example.com,6639811399,MIT,BS AI,3.08,2025-04-26 00:49:37,197.254.58.117,47,Desktop,0,0,5,1,1,0,1,1,0,1,⚠️ Suspicious,1.6674437225893868,-1.2596747690621852,0,0,15.2597353052807,1,1,Medium
1023,Alicia Parker,alexiswright@example.org,+1-853-961-9641x927,MIT,BE SE,3.79,2025-04-26 23:00:52,213.254.118.75,94,Mobile,0,23,5,1,1,0,1,1,0,1,⚠️ Suspicious,1.80277843704537,-1.187685147725204,0,0,24.8021042738511,1,1,Medium
1024,Barry Stephens,zrobinson@example.org,271-288-3740x3527,Harvard,BSc CS,2.12,2025-04-21 01:07:11,126.64.104.241,55,Mobile,5,1,0,0,1,1,1,0,0,0,✅ Normal,-1.4600534836836478,1.0333496205476569,1,0,25.9433839889698,1,1,Medium
1037,Sandra Ritter,katelyn17@example.net,+1-564-507-6457x208,Stanford,BSc CS,3.53,2025-04-26 21:01:31,194.205.104.115,47,Mobile,0,21,5,1,1,0,1,1,0,0,✅ Normal,1.8711549451746219,0.16168474537248892,0,0,13.3144438202709,1,1,Medium
1048,Dakota Jackson,bauermatthew@example.net,899-201-5273x480,MIT,BSc CS,3.75,2025-05-18 23:39:36,193.155.188.31,44,Desktop,3,23,6,1,1,1,1,1,0,0,✅ Normal,2.2641368192867763,1.1222943593142494,0,0,11.7333302044453,1,1,Medium
1070,Betty Barr,ylong@example.org,645.381.1624x9757,FAST,BSc CS,2.28,2025-04-26 23:11:48,131.218.118.90,81,Desktop,0,23,5,1,1,0,1,1,0,0,✅ Normal,1.9138692180034103,0.24674743025292484,0,0,35.5263002077631,1,1,Medium
1102,Robert Gonzalez,pthompson@example.net,001-905-210-0405x304,Harvard,BS AI,3.92,2025-04-20 21:33:27,28.32.13.111,68,Mobile,0,21,6,1,1,0,1,1,0,0,✅ Normal,2.1541428941307257,-0.7367579561112104,0,0,17.3469343502718,1,1,Medium
1112,Andrew Hicks,tina42@example.com,420.343.9367,FAST,BBA,2.09,2025-05-11 10:07:21,184.13.197.161,100,Mobile,5,10,6,1,1,1,1,1,0,1,⚠️ Suspicious,2.1580873961754716,0.22709975036440874,0,0,47.8468670589153,1,1,Medium
1113,Penny Bailey,lindsay45@example.org,+1-866-708-9410x237,FAST,BE SE,3.58,2025-04-27 04:34:06,36.235.30.15,99,Mobile,0,4,6,1,1,0,1,1,0,1,⚠️ Suspicious,1.9384589985100646,-2.782699828819233,0,0,27.6536235604403,1,1,Medium
1122,Jason Davidson,lopezgregory@example.com,599.432.9634x4174,MIT,BS IT,2.6,2025-05-03 02:20:34,194.128.198.64,88,Mobile,0,2,5,1,1,0,1,1,0,0,✅ Normal,1.652919017298688,-1.9165834763705927,0,0,33.8461408284074,1,1,Medium
1181,Ashley Duran,mariah23@example.com,6746700248,Stanford,BS AI,2.05,2025-04-21 23:45:25,153.131.120.34,49,Desktop,5,23,0,0,1,1,1,0,0,1,⚠️ Suspicious,-1.2046789453057862,3.0746485135827593,0,0,23.9024273646696,1,1,Medium
1221,Richard Kerr,pereztonya@example.net,+1-759-602-4675x8092,Harvard,BE SE,3.84,2025-04-27 21:00:35,105.234.23.196,54,Desktop,5,21,6,1,1,1,1,1,0,0,✅ Normal,2.247314434952815,1.2055187180804456,0,0,14.0624963378916,1,1,Medium
1247,Isaac Oconnor,justin64@example.com,534.762.2560x96505,NUST,BS AI,2.02,2025-05-03 19:46:47,216.192.143.22,43,Desktop,3,19,5,1,1,1,1,1,0,0,✅ Normal,1.985624449006686,2.0690557762683834,0,0,21.287118174694,1,1,Medium
1275,Nicole Haynes,daniellecampbell@example.org,5626084080,NUST,BS AI,3.98,2025-04-20 13:58:07,134.136.13.252,95,Desktop,0,13,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.019725560297806,-2.206491119363165,0,0,23.8693407363465,1,1,Medium
1278,Jeffrey Farmer,mariacarrillo@example.com,(366)787-3211x8777,Stanford,BBA,3.98,2025-05-17 15:20:14,176.17.13.7,99,Desktop,2,15,5,1,1,0,1,1,0,1,⚠️ Suspicious,1.7220226026235192,-1.5303109091947564,0,0,24.8743656094559,1,1,Medium
1296,Zachary Johnson,ljuarez@example.com,+1-412-237-0711,NUST,BSc CS,2.83,2025-05-18 00:58:36,112.155.52.81,44,Desktop,0,0,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.026934056694593,-1.0263582237267683,0,0,15.5476976863259,1,1,Medium
1298,Frank Perez,christopheranderson@example.net,+1-763-541-0355,Stanford,BS IT,3.61,2025-05-03 14:50:46,1.101.98.5,99,Desktop,0,14,5,1,1,0,1,1,0,0,✅ Normal,1.706748873692657,-1.9475576171602371,0,0,27.4238151180568,1,1,Medium
1324,Roy Bailey,peter33@example.net,(478)226-4727,Harvard,BBA,2.13,2025-04-20 19:50:34,123.49.114.45,42,Mobile,0,19,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.2807139043789455,1.0980116853932347,0,0,19.7183006017368,1,1,Medium
1344,Brenda Mcgrath,imccarthy@example.net,001-469-462-4249,NUST,BE SE,3.47,2025-04-26 20:44:42,193.232.131.83,40,Mobile,0,20,5,1,1,0,1,1,0,1,⚠️ Suspicious,1.8749007343181585,0.31953160354572263,0,0,11.527374199604,1,1,Medium
1363,Steven Smith,charleslozano@example.net,001-441-870-7794,FAST,BSc CS,2.24,2025-05-10 00:34:20,209.254.74.133,61,Mobile,5,0,5,1,1,1,1,1,0,1,⚠️ Suspicious,1.761570787410957,0.42603026134737965,0,0,27.2321306999417,1,1,Medium
1401,Lisa Richards,evanslaurie@example.org,434-600-0625,Harvard,BE SE,2.02,2025-04-28 21:14:34,205.73.75.72,91,Mobile,5,21,0,0,1,1,1,0,0,1,⚠️ Suspicious,-1.291671478584504,1.740424093613225,0,0,45.049482648771,1,1,Medium
1414,Lawrence Lynch,xphelps@example.com,8653183726,LUMS,BSc CS,2.04,2025-04-26 20:12:17,53.205.28.69,93,Desktop,4,20,5,1,1,1,1,1,0,0,✅ Normal,1.929082472503418,1.0191845256443075,0,0,45.5882129469544,1,1,Medium
1425,Ashley Williams,benjamin13@example.org,+1-701-934-8186x405,NUST,BE SE,2.52,2025-05-11 01:24:27,137.108.46.178,45,Mobile,5,1,6,1,1,1,1,1,0,1,⚠️ Suspicious,2.1209949741811625,0.7362077484482729,0,0,17.8571357709779,1,1,Medium
1428,Jack Watkins,monroemariah@example.com,001-202-626-8783x94226,Harvard,BS IT,3.12,2025-05-17 23:28:48,178.196.38.199,51,Mobile,5,23,5,1,1,1,1,1,0,0,✅ Normal,1.9774136854380258,1.992687538357667,0,0,16.3461486070037,1,1,Medium
1467,Anthony Anderson,sabrina04@example.net,001-712-849-5216,Harvard,BS IT,2.2,2025-05-03 02:49:07,182.81.196.165,78,Mobile,0,2,5,1,1,0,1,1,0,0,✅ Normal,1.6927780470996143,-1.3508742789121662,0,0,35.4545293388503,1,1,Medium
1489,Susan Moore,qponce@example.com,227.425.1794,FAST,BS IT,2.01,2025-05-09 19:20:54,173.212.191.143,42,Desktop,5,19,4,0,1,1,1,0,0,0,✅ Normal,0.12391548173604863,2.857190336159969,0,0,20.8955119922826,1,1,Medium
1490,Rebecca Hampton,pmiller@example.com,679-425-9799x5717,NUST,BS IT,3.82,2025-05-03 00:35:50,155.189.48.141,54,Mobile,5,0,5,1,1,1,1,1,0,1,⚠️ Suspicious,1.6781087562278523,-0.49126598284065537,1,0,14.1361219538948,1,1,Medium
1502,Rebecca Jenkins,anthonygraves@example.com,+1-275-682-4050x109,LUMS,BS AI,2.84,2025-05-04 05:32:11,90.109.63.193,95,Desktop,0,5,6,1,1,0,1,1,0,0,✅ Normal,2.0001123393173055,-2.064080889321952,0,0,33.4506924469393,1,1,Medium
1507,Rebecca Kaiser,harrisonbrian@example.com,984-977-6052x09671,Stanford,BS AI,2.14,2025-04-27 21:49:05,210.216.179.31,93,Desktop,5,21,6,1,1,1,1,1,0,1,⚠️ Suspicious,2.2870494486553525,1.3010453988813582,0,0,43.4579236177927,1,1,Medium
1521,Samantha Payne,stephanie73@example.net,001-485-339-7313x235,Stanford,BBA,2.64,2025-05-03 23:07:22,125.151.248.108,54,Desktop,5,23,5,1,1,1,1,1,0,0,✅ Normal,2.0013796384473457,2.2466175798972143,0,0,20.4545377066145,1,1,Medium
1538,Travis Lee,rogerscraig@example.net,335-259-6566x414,LUMS,BS AI,4.0,2025-04-20 13:37:48,40.217.175.138,45,Mobile,0,13,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.098077714072121,-0.8042092280205194,0,0,11.2499971875007,1,1,Medium
1550,Corey Sanford,wendy57@example.org,+1-296-583-8279x92739,NUST,BS AI,3.78,2025-05-18 02:39:26,222.17.101.66,50,Mobile,5,2,6,1,1,1,1,1,0,1,⚠️ Suspicious,2.048583845505336,-0.21226857855770265,0,0,13.227509728172,1,1,Medium
1561,Juan Jones,bartlettwesley@example.org,655.398.6946,NUST,BBA,2.94,2025-04-26 23:38:49,154.155.116.96,49,Mobile,5,23,5,1,1,1,1,1,0,0,✅ Normal,1.9913727683898101,2.1764365113121977,0,0,16.6666609977344,1,1,Medium
1569,Rachel Brown,fisherkathy@example.net,820-305-4069x6008,FAST,BSc CS,2.08,2025-05-10 02:08:08,17.200.102.28,76,Mobile,0,2,5,1,1,0,1,1,0,1,⚠️ Suspicious,1.7031447638564392,-1.2094895860353425,0,0,36.5384439719019,1,1,Medium
1597,Tracie Sutton,mendozaamanda@example.org,(622)545-8444,MIT,BS AI,2.0,2025-05-19 22:53:24,151.203.175.48,49,Mobile,0,22,0,0,1,0,1,2,0,1,⚠️ Suspicious,-1.27877665780605,1.5379401555132592,0,0,24.4999877500061,1,1,Medium
1619,Shannon Murphy,carriewilson@example.org,827-784-6059,FAST,BBA,3.69,2025-05-18 22:42:03,132.60.38.91,84,Mobile,0,22,6,1,1,0,1,1,0,0,✅ Normal,2.153441278611753,-0.9447967244885296,0,0,22.7642214731107,1,1,Medium
1663,Jessica Chen,paulhicks@example.net,+1-766-981-3726x7674,NUST,BS IT,3.78,2025-04-27 00:11:40,202.134.60.180,73,Mobile,5,0,6,1,1,1,1,1,0,1,⚠️ Suspicious,1.9900239806147397,-1.0294418777127088,0,0,19.3121642031312,1,1,Medium
1676,Susan Lopez,shelleywilliams@example.net,001-958-455-0350,MIT,BBA,3.47,2025-04-26 01:05:55,129.102.214.138,89,Mobile,5,1,5,1,1,1,1,1,0,0,✅ Normal,1.6543630216131988,-1.1528094519159413,0,0,25.6484075941188,1,1,Medium
1679,Jay Brown,kevinjohnson@example.com,7962982300,Stanford,BE SE,2.45,2025-04-27 23:31:05,158.138.208.195,91,Desktop,0,23,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.227530090359012,-0.1847508476447671,0,0,37.1428419825135,1,1,Medium
1696,Christopher Gonzalez,robertsjennifer@example.net,896-857-5295x6735,Harvard,BS IT,3.82,2025-05-10 00:26:04,216.212.117.240,67,Desktop,0,0,5,1,1,0,1,1,0,1,⚠️ Suspicious,1.5913180291824953,-2.3487288839013303,0,0,17.5392624242769,1,1,Medium
1730,Tammy Walker,amylowe@example.com,804-627-6685,Stanford,BSc CS,2.67,2025-05-17 01:45:32,206.7.248.121,51,Desktop,0,1,5,1,1,0,1,1,0,0,✅ Normal,1.6966111118567264,-1.0006839008779305,0,0,19.1011164415294,1,1,Medium
1740,Diane Salazar,xking@example.com,001-366-219-8989x646,Harvard,BSc CS,3.92,2025-05-11 13:35:07,129.1.10.65,41,Mobile,0,13,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.1092315043992116,-0.6344112558074254,0,0,10.459181005311,1,1,Medium
1774,Jose Mueller,michaelshaffer@example.org,832.408.2779x645,MIT,BBA,3.29,2025-05-04 23:26:47,156.63.204.191,61,Desktop,0,23,6,1,1,0,1,1,0,0,✅ Normal,2.224966729133156,0.07199122208845622,0,0,18.5410277990797,1,1,Medium
1834,Maria Perez,qreed@example.com,(356)324-6813x84644,NUST,BE SE,2.55,2025-05-04 06:29:36,187.13.200.100,43,Mobile,5,6,6,1,1,1,1,1,0,0,✅ Normal,2.177298387128549,1.185751173277847,0,0,16.8627384852006,1,1,Medium
1838,Meghan Barron,joshua95@example.net,915-520-5040x7425,Stanford,BS IT,3.72,2025-05-04 00:39:47,173.141.24.199,85,Desktop,5,0,6,1,1,1,1,1,0,1,⚠️ Suspicious,1.9745244406082667,-1.3270143939634533,0,0,22.8494562232645,1,1,Medium
1850,Linda Burton,amanda94@example.net,406.282.8622,LUMS,BS AI,2.02,2025-05-11 06:17:18,168.27.120.199,82,Mobile,5,6,6,1,1,1,1,1,0,0,✅ Normal,2.146982260029372,0.45517439256346304,0,0,40.5940393098815,1,1,Medium
1894,Samantha Kennedy,harrisvictor@example.com,(259)376-7092,Stanford,BS AI,3.52,2025-05-03 02:01:07,212.232.246.64,43,Mobile,5,2,5,1,1,1,1,1,0,1,⚠️ Suspicious,1.7355385458918149,0.1977919203744372,0,0,12.2159056204814,1,1,Medium
1914,Evan Anderson,mayojulie@example.org,716.269.9399x46442,NUST,BBA,3.31,2025-05-12 22:05:49,187.95.83.64,40,Mobile,0,22,0,0,1,0,1,2,0,1,⚠️ Suspicious,-1.342891056744931,0.8679393043963167,0,0,12.084588494082,1,1,Medium
1924,Kimberly Brooks,ashley78@example.com,+1-353-205-0411x8725,Harvard,BS IT,3.85,2025-05-10 11:04:03,205.7.95.125,94,Mobile,5,11,5,1,1,1,1,1,0,0,✅ Normal,1.733491631483777,-0.7346180265842387,0,0,24.4155780738758,1,1,Medium
1953,Michelle Meyers,michaeltaylor@example.net,3363652054,Harvard,BBA,2.89,2025-05-18 02:51:38,17.167.248.47,42,Mobile,0,2,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.0484907195377224,-0.8464385982242592,0,0,14.5328669436447,1,1,Medium
1992,Lawrence Lopez,xjohnson@example.net,734-276-2545,NUST,BE SE,2.92,2025-05-11 03:27:12,130.72.37.113,43,Mobile,5,3,6,1,1,1,1,1,0,0,✅ Normal,2.1221948952528535,0.6760631201771057,0,0,14.7260223541019,1,1,Medium
2004,James Clayton,tracyward@example.org,(897)581-6741x70553,Harvard,BBA,2.15,2025-04-27 12:26:12,193.147.215.32,100,Mobile,5,12,6,1,1,1,1,1,0,1,⚠️ Suspicious,2.1764620746516954,0.35036324314550915,0,0,46.5116062736715,1,1,Medium
2034,Billy Hart,smithamanda@example.com,(362)856-2391,NUST,BBA,2.29,2025-05-18 13:57:02,195.44.211.109,40,Desktop,0,13,6,1,1,0,1,1,0,1,⚠️ Suspicious,2.208415111545738,0.5448130859976669,0,0,17.4672412806807,1,1,Medium
2042,Sheila Hughes,jamesscott@example.com,512-545-9211x069,Harvard,BS IT,2.13,2025-05-11 17:18:24,194.15.9.182,91,Desktop,0,17,6,1,1,0,1,1,0,0,✅ Normal,2.1807882427185783,-0.45569133914008314,0,0,42.7229846370964,1,1,Medium
2060,Becky Day,dixonchristopher@example.com,559-922-1819,FAST,BS AI,3.33,2025-05-10 22:50:16,30.220.212.250,45,Mobile,5,22,5,1,1,1,1,1,0,0,✅ Normal,1.9634028345207908,1.931567069820512,0,0,13.5135094554026,1,1,Medium
